,time,open,high,low,close,volume
496,2025-01-07,50.52,50.99,50.52,50.52,403696
497,2025-01-08,50.52,50.7,50.42,50.52,496812
498,2025-01-09,50.52,50.8,50.33,50.42,411589
499,2025-01-10,50.42,50.8,50.42,50.42,475785
500,2025-01-13,50.23,51.17,50.14,50.89,462553
501,2025-01-14,50.8,51.27,50.8,51.27,329356
502,2025-01-15,51.74,51.74,51.17,51.74,331944
503,2025-01-16,51.55,52.11,50.61,50.8,572692
504,2025-01-17,50.7,51.74,50.05,50.23,638356
505,2025-01-20,50.42,50.99,50.42,50.89,200734
506,2025-01-21,51.17,51.17,50.33,50.42,258460
507,2025-01-22,50.7,50.89,50.42,50.52,201578
508,2025-01-23,50.8,50.89,50.42,50.8,235547
509,2025-01-24,50.52,50.89,50.52,50.61,303212
510,2025-02-03,50.42,50.61,49.48,49.57,599809
511,2025-02-04,49.67,49.86,49.29,49.57,438773
512,2025-02-05,49.67,49.95,49.57,49.95,270329
513,2025-02-06,50.05,50.05,49.57,49.57,353492
514,2025-02-07,49.57,49.67,49.2,49.29,768918
515,2025-02-10,49.1,49.29,48.92,49.1,645306
516,2025-02-11,49.01,49.1,48.45,48.54,748820
517,2025-02-12,48.63,48.92,48.63,48.82,90829
518,2025-02-13,48.82,48.92,48.63,48.63,275121
519,2025-02-14,49.29,49.29,48.45,48.54,669129
520,2025-02-17,48.45,48.54,47.98,48.07,1116717
521,2025-02-18,48.07,48.45,47.98,48.16,489998
522,2025-02-19,48.16,48.35,48.07,48.26,871238
523,2025-02-20,48.45,48.54,48.26,48.35,580621
524,2025-02-21,48.54,49.1,48.35,48.73,752662
525,2025-02-24,48.73,49.29,48.73,49.29,714423
526,2025-02-25,50.33,50.33,49.01,49.29,484840
527,2025-02-26,49.39,49.39,48.92,49.1,648180
528,2025-02-27,49.1,49.2,48.73,49.1,457504
529,2025-02-28,48.92,49.2,48.45,48.45,929250
530,2025-03-03,48.92,48.92,48.45,48.63,580641
531,2025-03-04,48.63,49.01,48.45,48.92,736474
532,2025-03-05,48.92,49.01,48.54,48.73,480945
533,2025-03-06,48.73,48.82,48.26,48.35,1209978
534,2025-03-07,48.82,48.92,48.07,48.16,1426240
535,2025-03-10,48.45,48.63,47.98,48.35,1215216
536,2025-03-11,48.26,48.35,47.88,48.16,1573015
537,2025-03-12,47.98,48.45,47.98,48.07,1576565
538,2025-03-13,48.07,48.45,47.98,48.07,1125931
539,2025-03-14,48.26,49.29,48.16,48.54,1389247
540,2025-03-17,48.92,49.01,48.35,48.54,739736
541,2025-03-18,48.54,48.82,48.07,48.07,1621031
542,2025-03-19,48.26,48.26,47.79,47.79,2189365
543,2025-03-20,47.88,48.07,47.51,47.6,1385485
544,2025-03-21,47.79,47.79,47.32,47.32,1205632
545,2025-03-24,47.32,47.41,46.94,46.94,1550897
546,2025-03-25,47.13,47.22,46.61,46.61,1606302
547,2025-03-26,46.61,47.13,46.47,46.61,1264845
548,2025-03-27,46.61,46.75,46.52,46.61,988961
549,2025-03-28,46.66,46.75,46.28,46.38,1141601
550,2025-03-31,46.33,46.47,46.0,46.0,1126907
551,2025-04-01,46.14,46.66,45.95,46.42,957252
552,2025-04-02,46.47,46.52,46.19,46.38,630634
553,2025-04-03,45.44,45.44,43.13,43.13,3158944
554,2025-04-04,40.12,42.19,40.12,40.78,3851521
555,2025-04-08,40.78,41.91,39.89,40.07,3267737
556,2025-04-09,39.04,41.96,39.04,41.48,3153344
557,2025-04-10,44.35,44.35,44.31,44.35,598972
558,2025-04-11,45.15,46.66,44.35,46.09,4012370
559,2025-04-14,46.56,46.8,45.67,46.56,2475086
560,2025-04-15,46.14,46.19,44.97,45.81,2332871
561,2025-04-16,45.34,45.62,44.54,44.78,1344523
562,2025-04-17,44.5,44.68,44.17,44.21,1363877
563,2025-04-18,44.59,45.15,44.4,44.54,845618
564,2025-04-21,44.5,44.78,44.31,44.31,472772
565,2025-04-22,44.21,44.68,42.33,43.84,1205723
566,2025-04-23,44.97,45.72,44.59,45.72,1165003
567,2025-04-24,46.09,46.42,45.91,46.28,1698282
568,2025-04-25,46.28,46.56,46.0,46.56,1951895
569,2025-04-28,46.52,48.26,46.33,48.16,1968996
570,2025-04-29,47.79,47.79,45.25,45.25,4407144
571,2025-05-05,45.06,45.29,44.35,45.06,1251013
572,2025-05-06,45.58,45.58,44.92,45.01,790459
573,2025-05-07,45.2,45.53,45.15,45.2,767869
574,2025-05-08,45.25,45.86,45.25,45.67,859241
575,2025-05-09,46.75,46.75,45.95,46.09,940554
576,2025-05-12,46.28,46.56,46.09,46.52,1227578
577,2025-05-13,46.66,46.66,46.28,46.33,1007145
578,2025-05-14,46.19,46.71,46.19,46.56,1129231
579,2025-05-15,46.56,47.6,46.56,47.32,1280816
580,2025-05-16,47.32,47.69,47.22,47.51,700568
581,2025-05-19,47.22,47.22,46.66,46.75,754833
582,2025-05-20,46.56,46.94,46.52,46.85,584679
583,2025-05-21,46.85,46.99,46.56,46.66,577212
584,2025-05-22,46.66,46.75,46.47,46.71,794955
585,2025-05-23,46.71,46.75,46.38,46.52,397177
586,2025-05-26,46.94,46.94,45.81,46.52,716367
587,2025-05-27,46.8,46.8,46.47,46.52,591321
588,2025-05-28,46.66,46.75,46.33,46.52,598352
589,2025-05-29,46.56,46.85,46.33,46.33,773730
590,2025-05-30,46.33,46.38,45.81,45.86,1704102
591,2025-06-02,45.86,46.42,45.67,46.24,569970
592,2025-06-03,46.28,46.61,46.28,46.56,605168
593,2025-06-04,46.66,47.69,46.61,47.13,1485198
594,2025-06-05,47.04,47.22,46.56,46.56,994649
595,2025-06-06,46.56,46.8,46.14,46.14,755124
596,2025-06-09,46.14,46.47,45.95,45.95,924177
597,2025-06-10,46.33,46.33,45.91,45.95,844861
598,2025-06-11,46.0,46.19,45.95,46.09,347695
599,2025-06-12,46.19,46.66,46.19,46.52,631844
600,2025-06-13,46.47,46.47,46.0,46.19,963693
601,2025-06-16,46.09,46.75,46.09,46.61,977362
602,2025-06-17,46.66,47.79,46.61,46.99,1507277
603,2025-06-18,46.99,47.13,46.56,46.56,1298112
604,2025-06-19,46.75,46.89,46.28,46.52,1025994
605,2025-06-20,46.56,46.66,46.38,46.56,717034
606,2025-06-23,46.28,46.52,46.19,46.33,1050378
607,2025-06-24,46.56,46.71,46.42,46.71,710936
608,2025-06-25,46.42,47.51,46.42,47.32,1763863
609,2025-06-26,47.69,47.79,47.32,47.51,1285061
610,2025-06-27,47.6,47.88,47.32,47.6,3003369
611,2025-06-30,47.6,47.75,46.9,47.0,1926448
612,2025-07-01,47.0,47.0,46.5,46.55,906758
613,2025-07-02,46.5,46.5,46.1,46.4,1100593
614,2025-07-03,46.4,46.6,46.25,46.25,1536347
615,2025-07-04,46.6,46.6,46.3,46.4,849176
616,2025-07-07,46.5,46.65,46.3,46.4,1321381
617,2025-07-08,46.45,46.85,46.45,46.85,1640468
618,2025-07-09,47.0,47.75,46.9,47.65,2603822
619,2025-07-10,47.7,48.35,47.7,48.1,2152137
620,2025-07-11,48.1,48.25,47.5,48.15,2444000
621,2025-07-14,48.15,48.35,47.65,48.0,1272000
622,2025-07-15,48.0,48.9,47.95,48.05,2151700
623,2025-07-16,48.05,48.15,47.65,48.0,1366400
624,2025-07-17,48.05,48.7,47.85,48.4,2042400
625,2025-07-18,48.55,48.55,48.0,48.2,1338400
626,2025-07-21,48.05,48.35,47.7,47.7,1645300
627,2025-07-22,47.75,47.9,47.5,47.8,797900
628,2025-07-23,47.85,48.9,47.5,48.6,2660200
629,2025-07-24,48.95,50.0,48.7,49.0,2245700
630,2025-07-25,49.0,49.1,48.85,49.1,1335000
631,2025-07-28,49.35,49.5,48.9,49.3,2668300
632,2025-07-29,49.3,49.5,47.35,47.35,2638000
633,2025-07-30,47.4,47.8,47.35,47.6,2020500
634,2025-07-31,47.7,48.4,47.5,47.65,1914100
635,2025-08-01,47.7,48.05,47.7,47.95,1031600
636,2025-08-04,48.0,48.1,47.65,48.1,804800
637,2025-08-05,48.1,48.2,47.4,47.5,2101200
638,2025-08-06,47.6,48.15,47.35,47.8,980700
639,2025-08-07,48.0,48.0,47.55,47.7,860100
640,2025-08-08,47.7,48.15,47.6,47.85,930800
641,2025-08-11,48.0,48.55,48.0,48.2,1467500
642,2025-08-12,48.4,48.55,48.2,48.3,1258100
643,2025-08-13,48.45,48.45,47.85,47.95,1126700
644,2025-08-14,48.1,48.1,47.75,47.9,1143800
645,2025-08-15,47.95,47.95,47.4,47.5,1553000
646,2025-08-18,47.55,47.75,47.15,47.15,962200
647,2025-08-19,47.25,47.35,47.05,47.15,1046500
648,2025-08-20,47.15,47.15,46.55,46.75,1212700
649,2025-08-21,46.55,46.9,46.3,46.6,1406200
650,2025-08-22,46.5,46.6,45.7,45.8,1847600
651,2025-08-25,45.8,46.0,45.5,45.6,990900
652,2025-08-26,45.6,45.9,45.45,45.9,696900
653,2025-08-27,46.1,46.3,45.85,46.0,1209900
654,2025-08-28,46.0,46.65,46.0,46.55,545500
655,2025-08-29,46.8,46.9,46.55,46.55,788100
656,2025-09-03,46.6,46.6,46.25,46.35,558900
657,2025-09-04,46.5,47.2,46.35,47.1,1013000
658,2025-09-05,47.25,47.5,47.1,47.3,1242400
659,2025-09-08,47.5,47.55,46.75,46.8,869100
660,2025-09-09,46.75,46.8,46.2,46.3,858200
661,2025-09-10,46.5,46.6,46.15,46.25,506700
662,2025-09-11,46.4,46.5,45.7,46.4,705600
663,2025-09-12,46.3,47.4,46.3,46.65,1050800
664,2025-09-15,46.95,47.0,46.65,46.7,507500
665,2025-09-16,46.95,48.15,46.6,47.8,2744100
666,2025-09-17,47.8,48.15,47.3,47.3,983000
667,2025-09-18,47.45,47.55,46.7,46.8,1010400
668,2025-09-19,46.95,46.95,46.0,46.0,1385500
669,2025-09-22,46.1,46.45,45.5,45.7,1354200
670,2025-09-23,45.8,46.1,45.65,45.8,447500
671,2025-09-24,45.9,46.1,45.5,46.1,503600
672,2025-09-25,46.15,46.25,45.75,45.85,468600
673,2025-09-26,46.05,46.05,45.65,45.65,480800
674,2025-09-29,45.7,45.7,45.35,45.5,571100
675,2025-09-30,45.5,45.6,45.15,45.2,553000
676,2025-10-01,45.3,45.55,45.2,45.3,324100
677,2025-10-02,45.4,45.75,45.4,45.4,696400
678,2025-10-03,45.45,45.8,45.4,45.55,425600
679,2025-10-06,46.05,46.2,45.7,46.15,894200
680,2025-10-07,46.45,46.45,45.9,46.0,690800
681,2025-10-08,46.3,46.4,45.95,45.95,517900
682,2025-10-09,46.0,46.05,45.55,45.6,557300
683,2025-10-10,45.6,45.95,45.55,45.85,481500
684,2025-10-13,45.5,45.95,45.35,45.95,521600
685,2025-10-14,45.8,45.95,45.4,45.4,579100
686,2025-10-15,45.45,45.7,45.25,45.25,544100
687,2025-10-16,45.3,45.6,45.1,45.2,467500
688,2025-10-17,45.2,45.5,44.9,45.25,825800
689,2025-10-20,45.05,45.25,44.0,44.0,961100
690,2025-10-21,44.15,44.5,44.0,44.45,806800
691,2025-10-22,44.45,44.8,44.25,44.8,390300
692,2025-10-23,44.8,45.65,44.55,45.45,730200
693,2025-10-24,45.5,45.5,45.0,45.15,354200
694,2025-10-27,45.5,45.75,45.2,45.45,691600
695,2025-10-28,45.45,45.65,45.35,45.45,405600
696,2025-10-29,45.8,46.0,45.45,45.75,762700
697,2025-10-30,45.9,45.9,45.4,45.7,623700
698,2025-10-31,45.85,45.9,45.6,45.85,575000
699,2025-11-03,45.8,46.65,45.75,46.3,858900
700,2025-11-04,46.45,46.45,45.5,46.25,851500
701,2025-11-05,46.3,46.35,45.95,46.2,566500
702,2025-11-06,46.0,46.3,45.9,46.15,543600
703,2025-11-07,45.9,46.4,45.9,46.1,560000
704,2025-11-10,46.2,46.35,46.0,46.0,515600
705,2025-11-11,45.95,47.25,45.9,46.8,1271900
706,2025-11-12,46.8,47.1,46.6,46.95,753600
707,2025-11-13,47.1,47.55,46.85,47.4,1122200
708,2025-11-14,47.4,47.55,47.05,47.1,842800
709,2025-11-17,47.1,47.6,47.1,47.25,1032700
710,2025-11-18,47.3,47.5,46.8,47.2,623200
711,2025-11-19,47.2,47.2,46.9,47.0,665000
712,2025-11-20,47.4,47.5,46.95,47.05,776700
713,2025-11-21,46.95,46.95,46.5,46.7,542300
714,2025-11-24,46.7,47.0,46.15,46.15,863800
715,2025-11-25,46.2,46.8,46.1,46.3,435300
716,2025-11-26,46.4,46.8,46.4,46.5,374600
