,time,open,high,low,close,volume
491,2024-12-30,37.3,37.45,36.96,36.96,614275
492,2024-12-31,37.01,37.16,36.28,36.28,710918
493,2025-01-02,36.72,37.16,36.72,36.91,547111
494,2025-01-03,37.3,37.35,36.87,37.2,787494
495,2025-01-06,37.2,37.49,36.91,37.11,671502
496,2025-01-07,37.4,37.4,36.67,36.67,859765
497,2025-01-08,36.72,37.06,36.09,37.06,915235
498,2025-01-09,37.25,38.03,37.06,37.74,1724721
499,2025-01-10,37.59,37.78,36.77,36.87,716200
500,2025-01-13,37.3,37.64,37.11,37.64,989252
501,2025-01-14,37.78,38.8,37.78,38.46,1717944
502,2025-01-15,38.61,38.95,38.32,38.7,1317529
503,2025-01-16,39.04,39.04,38.46,38.7,1054970
504,2025-01-17,38.66,38.7,38.32,38.7,772505
505,2025-01-20,38.7,38.7,38.46,38.56,402862
506,2025-01-21,38.66,39.04,38.12,38.56,873707
507,2025-01-22,38.61,38.61,37.88,37.88,873536
508,2025-01-23,37.93,38.41,37.69,38.32,505994
509,2025-01-24,37.83,38.27,37.83,38.22,570308
510,2025-02-03,37.93,38.12,37.59,38.03,541288
511,2025-02-04,38.12,38.9,38.12,38.7,947205
512,2025-02-05,38.85,38.9,38.41,38.61,623891
513,2025-02-06,38.7,38.7,38.32,38.61,601953
514,2025-02-07,38.61,38.61,38.41,38.56,735182
515,2025-02-10,38.51,39.43,38.32,39.09,2003743
516,2025-02-11,39.19,39.96,39.09,39.87,2096826
517,2025-02-12,39.87,40.11,39.77,40.01,1137195
518,2025-02-13,40.01,40.83,39.62,40.64,2401025
519,2025-02-14,41.03,41.36,40.64,40.98,2156193
520,2025-02-17,41.03,41.7,40.54,40.69,2505209
521,2025-02-18,40.64,41.36,40.54,41.22,1698187
522,2025-02-19,41.61,41.9,41.41,41.8,2235945
523,2025-02-20,41.95,41.95,41.51,41.7,1278276
524,2025-02-21,41.41,42.09,41.32,41.8,1857980
525,2025-02-24,41.7,41.75,41.27,41.61,1507636
526,2025-02-25,41.61,42.19,41.61,41.9,1838959
527,2025-02-26,41.9,42.04,41.61,41.85,1082425
528,2025-02-27,41.8,41.99,41.46,41.56,1385824
529,2025-02-28,41.56,42.28,41.56,42.14,1737668
530,2025-03-03,41.99,42.86,41.85,42.77,2399990
531,2025-03-04,42.77,43.11,42.28,43.06,2100737
532,2025-03-05,43.06,43.06,42.33,42.33,1232804
533,2025-03-06,42.28,42.38,41.32,42.24,2032783
534,2025-03-07,42.19,42.19,41.17,41.46,3053707
535,2025-03-10,41.61,41.61,40.83,41.61,2078695
536,2025-03-11,41.22,41.9,41.03,41.9,1583873
537,2025-03-12,41.85,41.85,41.22,41.51,1184420
538,2025-03-13,41.46,41.46,40.35,40.35,2542113
539,2025-03-14,40.25,40.45,39.67,40.06,1681513
540,2025-03-17,40.06,40.35,39.53,40.11,1373302
541,2025-03-18,40.25,40.59,40.11,40.35,1316699
542,2025-03-19,40.45,40.45,39.77,40.16,677059
543,2025-03-20,40.06,40.25,39.62,39.96,859643
544,2025-03-21,39.96,40.06,39.62,39.96,1181023
545,2025-03-24,39.96,40.11,39.57,39.91,617785
546,2025-03-25,40.16,40.16,39.57,39.62,1757514
547,2025-03-26,39.77,40.16,39.67,39.82,792904
548,2025-03-27,39.82,39.96,39.48,39.62,792781
549,2025-03-28,39.48,39.62,38.51,38.51,1651085
550,2025-03-31,38.32,38.37,37.78,38.27,1020533
551,2025-04-01,38.56,38.99,38.41,38.99,565478
552,2025-04-02,39.09,39.09,38.7,38.9,350291
553,2025-04-03,36.96,37.93,36.19,36.19,2809610
554,2025-04-04,33.67,34.54,33.67,34.54,4401941
555,2025-04-08,32.37,33.77,32.17,32.17,1903706
556,2025-04-09,29.95,32.03,29.95,29.95,2656049
557,2025-04-10,32.03,32.03,32.03,32.03,41725
558,2025-04-11,34.25,34.25,32.37,34.2,3677259
559,2025-04-14,34.16,34.2,33.29,33.72,1582843
560,2025-04-15,33.38,33.62,32.51,32.51,1653667
561,2025-04-16,32.51,33.0,31.93,31.93,1207346
562,2025-04-17,31.88,32.8,31.69,32.75,802357
563,2025-04-18,33.14,33.33,32.9,32.9,607620
564,2025-04-21,32.9,33.14,32.41,32.7,419464
565,2025-04-22,32.7,32.7,30.43,32.03,1194762
566,2025-04-23,32.61,32.7,32.08,32.37,795307
567,2025-04-24,32.51,33.14,32.51,32.56,935211
568,2025-04-25,32.61,33.33,32.56,33.14,1459331
569,2025-04-28,33.14,33.14,32.56,32.7,608855
570,2025-04-29,32.7,32.9,32.7,32.8,357616
571,2025-05-05,32.66,32.66,32.12,32.56,658425
572,2025-05-06,32.8,33.48,32.61,32.8,1538813
573,2025-05-07,31.93,32.7,31.93,32.41,2038319
574,2025-05-08,32.12,34.64,32.12,34.54,4051672
575,2025-05-09,34.54,34.64,33.87,34.01,1596493
576,2025-05-12,34.01,34.54,34.01,34.35,1727294
577,2025-05-13,34.83,34.83,34.4,34.4,1537168
578,2025-05-14,34.54,35.08,34.45,34.54,2600945
579,2025-05-15,34.54,34.79,34.25,34.4,1230061
580,2025-05-16,34.45,34.93,34.4,34.59,1452685
581,2025-05-19,34.54,34.59,33.91,33.96,1051912
582,2025-05-20,33.96,34.01,33.62,33.67,848660
583,2025-05-21,33.82,34.45,33.72,34.16,908634
584,2025-05-22,34.16,34.16,33.53,33.67,815488
585,2025-05-23,33.67,33.82,33.0,33.24,1027851
586,2025-05-26,33.14,33.67,32.27,33.58,1115699
587,2025-05-27,33.72,34.01,33.53,33.62,1035154
588,2025-05-28,33.91,34.93,33.91,34.35,1773284
589,2025-05-29,34.4,34.4,33.67,33.77,1259523
590,2025-05-30,33.58,33.91,33.38,33.38,761689
591,2025-06-02,33.77,34.45,33.58,34.45,1840119
592,2025-06-03,34.59,34.69,34.45,34.49,1207580
593,2025-06-04,34.64,35.56,34.59,34.88,2131454
594,2025-06-05,35.27,35.32,34.79,34.93,1412787
595,2025-06-06,35.08,36.58,35.08,36.19,3678248
596,2025-06-09,36.24,36.24,35.37,35.8,2001535
597,2025-06-10,35.8,35.8,35.3,35.5,653163
598,2025-06-11,35.5,35.5,34.95,34.95,899419
599,2025-06-12,35.45,35.7,35.2,35.25,602196
600,2025-06-13,36.1,37.7,36.1,37.7,5454716
601,2025-06-16,40.0,40.3,38.65,40.3,5742642
602,2025-06-17,40.35,40.35,38.95,39.05,2718995
603,2025-06-18,40.0,40.2,39.0,39.0,2511539
604,2025-06-19,39.15,39.9,38.25,39.55,2537516
605,2025-06-20,39.55,39.8,38.65,39.15,1437117
606,2025-06-23,41.85,41.85,40.0,40.2,3038400
607,2025-06-24,37.8,38.9,37.8,38.05,2964800
608,2025-06-25,38.0,38.4,37.1,37.3,1860000
609,2025-06-26,37.3,37.7,36.85,37.05,1507600
610,2025-06-27,37.1,37.6,36.95,37.3,573000
611,2025-06-30,37.3,37.5,37.0,37.25,930200
612,2025-07-01,37.25,37.25,36.9,36.9,1078100
613,2025-07-02,36.9,37.1,36.85,36.95,678300
614,2025-07-03,37.2,37.4,37.0,37.0,781500
615,2025-07-04,37.0,37.3,37.0,37.25,937200
616,2025-07-07,37.25,37.3,37.0,37.1,984200
617,2025-07-08,37.1,37.35,37.1,37.3,1229900
618,2025-07-09,37.5,37.85,37.35,37.45,1348500
619,2025-07-10,37.5,38.35,37.45,37.9,1682800
620,2025-07-11,37.9,37.95,37.6,37.7,1223000
621,2025-07-14,37.9,37.9,37.3,37.5,1239200
622,2025-07-15,37.5,37.7,37.3,37.3,1511400
623,2025-07-16,37.3,37.5,37.05,37.25,1734200
624,2025-07-17,37.25,37.35,37.05,37.1,1791300
625,2025-07-18,37.15,37.6,37.15,37.3,2295400
626,2025-07-21,37.55,37.6,37.1,37.1,1174400
627,2025-07-22,37.1,37.15,36.9,37.15,1523400
628,2025-07-23,37.25,37.5,37.0,37.25,2046600
629,2025-07-24,37.35,38.2,37.3,38.1,4400700
630,2025-07-25,38.2,38.6,38.0,38.1,2922100
631,2025-07-28,38.15,38.2,37.7,37.85,3965000
632,2025-07-29,37.9,38.5,36.5,36.5,7470400
633,2025-07-30,37.0,37.0,36.2,36.3,3099700
634,2025-07-31,36.6,37.1,36.15,36.25,2104500
635,2025-08-01,36.25,36.3,35.65,35.8,3046700
636,2025-08-04,36.3,36.85,36.0,36.6,2611700
637,2025-08-05,36.9,37.1,36.2,36.6,3923500
638,2025-08-06,36.8,37.6,36.7,37.45,2980400
639,2025-08-07,37.5,37.55,37.0,37.1,2324500
640,2025-08-08,37.1,38.5,37.1,38.2,6375200
641,2025-08-11,38.25,38.5,37.65,37.95,2344600
642,2025-08-12,38.0,38.85,37.65,38.5,4940600
643,2025-08-13,38.65,38.95,37.5,38.0,3546500
644,2025-08-14,38.4,38.4,37.55,37.9,2328900
645,2025-08-15,38.0,39.75,37.7,38.5,7512200
646,2025-08-18,39.2,39.35,38.45,38.8,3223300
647,2025-08-19,38.8,39.3,38.35,38.35,4029200
648,2025-08-20,38.3,38.35,36.65,37.0,4907300
649,2025-08-21,37.0,37.4,36.7,36.9,2486700
650,2025-08-22,36.7,36.85,35.85,35.95,3927900
651,2025-08-25,36.1,36.5,35.75,35.85,2063900
652,2025-08-26,36.0,36.4,35.9,36.35,1245400
653,2025-08-27,36.35,36.85,36.15,36.4,1392400
654,2025-08-28,36.45,36.8,36.1,36.15,1883600
655,2025-08-29,36.5,36.5,36.05,36.1,1694600
656,2025-09-03,36.4,36.95,36.3,36.55,1410600
657,2025-09-04,36.6,37.0,36.5,36.65,1443500
658,2025-09-05,36.8,37.2,36.6,36.6,2740600
659,2025-09-08,36.5,36.6,35.5,35.5,3117400
660,2025-09-09,35.55,35.7,35.15,35.45,1657600
661,2025-09-10,35.6,35.85,35.25,35.4,951800
662,2025-09-11,35.6,35.7,34.85,35.35,2030600
663,2025-09-12,35.4,36.0,35.25,35.6,1759700
664,2025-09-15,36.0,36.05,35.6,35.75,1254400
665,2025-09-16,36.0,36.3,35.8,35.95,2344000
666,2025-09-17,36.15,36.65,36.0,36.1,1910400
667,2025-09-18,36.1,36.15,35.55,35.6,1609700
668,2025-09-19,35.55,35.75,35.3,35.35,2152000
669,2025-09-22,35.4,35.55,34.85,34.85,1866700
670,2025-09-23,35.0,35.2,34.75,34.75,1169300
671,2025-09-24,34.8,35.05,34.6,35.0,1194300
672,2025-09-25,35.15,35.3,35.05,35.05,1032600
673,2025-09-26,35.3,35.3,34.8,34.8,804600
674,2025-09-29,35.2,35.3,34.65,34.75,1020300
675,2025-09-30,34.75,34.8,34.0,34.2,1610600
676,2025-10-01,34.2,34.45,34.15,34.15,696000
677,2025-10-02,34.15,34.35,34.0,34.0,1039500
678,2025-10-03,34.15,34.15,33.3,33.45,2004500
679,2025-10-06,34.0,34.15,33.7,34.15,921500
680,2025-10-07,34.3,34.35,33.9,33.9,891600
681,2025-10-08,34.3,34.4,33.9,33.95,1039400
682,2025-10-09,34.0,34.4,33.85,34.1,1216800
683,2025-10-10,34.15,34.25,33.95,34.05,1171100
684,2025-10-13,33.7,34.05,33.55,34.05,1238600
685,2025-10-14,34.05,34.3,33.5,33.6,1916500
686,2025-10-15,33.6,33.9,33.55,33.7,1660100
687,2025-10-16,33.7,33.9,33.4,33.7,1735700
688,2025-10-17,33.7,33.75,33.45,33.55,1940900
689,2025-10-20,33.5,33.5,32.5,32.7,2222300
690,2025-10-21,32.8,33.5,32.8,33.35,1522900
691,2025-10-22,33.5,34.5,33.4,34.25,2047700
692,2025-10-23,34.6,34.95,34.25,34.25,1270200
693,2025-10-24,34.8,34.85,34.25,34.3,1108600
694,2025-10-27,34.8,34.8,34.15,34.15,776900
695,2025-10-28,34.15,34.3,33.85,34.05,641700
696,2025-10-29,34.1,34.5,34.0,34.5,1345200
697,2025-10-30,34.6,34.8,34.4,34.55,793900
698,2025-10-31,34.55,35.5,34.55,34.55,2937600
699,2025-11-03,35.0,35.0,34.3,34.3,1161500
700,2025-11-04,34.2,34.5,33.75,34.2,1942900
701,2025-11-05,34.3,36.1,34.3,35.2,4302700
702,2025-11-06,35.3,35.4,34.7,34.75,2001900
703,2025-11-07,34.8,35.0,34.0,34.0,2556500
704,2025-11-10,34.15,34.4,33.9,33.9,1622400
705,2025-11-11,33.95,34.1,33.7,33.75,1320500
706,2025-11-12,34.0,34.05,33.75,34.05,1081700
707,2025-11-13,34.05,35.05,34.0,34.5,2597000
708,2025-11-14,34.55,34.85,34.4,34.5,1409500
709,2025-11-17,34.55,34.7,34.4,34.7,1654200
710,2025-11-18,34.65,35.1,34.55,34.55,2769100
711,2025-11-19,34.55,34.85,34.4,34.7,1997700
712,2025-11-20,34.75,34.85,34.3,34.4,1406200
713,2025-11-21,34.25,34.35,33.8,33.95,2146100
714,2025-11-24,33.9,34.1,33.75,33.85,806300
715,2025-11-25,33.85,33.95,33.45,33.5,1547200
716,2025-11-26,33.55,34.05,33.55,33.85,592900
